site,model,seed,neural_source,origin_month,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
NIST_GROUND,TCN,42,TCN,2017-10,976149,6918,1735403524.5060651,27370809.48412816,11637757.140843878,42.16403650993687,28.03958154352272,11.922111420330172
NIST_GROUND,TCN,42,TCN,2017-11,1130846,7858,2394247396.065323,35028632.7824677,19197991.35578844,46.01323616533594,30.97559949141413,16.97666291943239
NIST_GROUND,TCN,42,TCN,2017-12,1021681,7109,2462619185.366038,35040988.68158111,21616337.39306608,49.09541899805023,34.29738703331188,21.157619054348743
NIST_GROUND,TCN,43,TCN,2017-10,976149,6918,1752122257.3448455,28030636.005531736,12168183.327970255,42.36665209006188,28.71553011428761,12.465497918832328
NIST_GROUND,TCN,43,TCN,2017-11,1130846,7858,2526466376.9816,36476324.24567831,21822824.011383787,47.26667234971307,32.2557839402344,19.29778591548609
NIST_GROUND,TCN,43,TCN,2017-12,1021681,7109,2756028807.2540894,37860114.75261792,24166784.4520331,51.93787990918391,37.056688685233375,23.653943307189916
NIST_GROUND,TCN,44,TCN,2017-10,976149,6918,1643726528.399509,27023287.79445997,8649681.397092532,41.03521614518223,27.683568588873182,8.861025721577887
NIST_GROUND,TCN,44,TCN,2017-11,1130846,7858,2030217433.9182675,32548918.05956333,12538470.88759873,42.37108091808722,28.782803369834028,11.08769088593737
NIST_GROUND,TCN,44,TCN,2017-12,1021681,7109,1981823067.2264705,31146000.09431151,13370641.517953351,44.04278578095671,30.485053646208076,13.086904344852602
NIST_GROUND,Recurrent,42,Recurrent,2017-10,976149,6918,1699366490.392378,23487278.06509813,9130067.854411809,41.72395499111017,24.06116081161598,9.353149831031748
NIST_GROUND,Recurrent,42,Recurrent,2017-11,1130846,7858,2196417053.948512,28327213.68192708,13830273.396635467,44.07128062652496,25.049576761050645,12.230023713781954
NIST_GROUND,Recurrent,42,Recurrent,2017-12,1021681,7109,2211473777.103883,27554289.135311827,14381272.590156373,46.524663269092805,26.96956206028284,14.076088906572965
NIST_GROUND,Recurrent,43,Recurrent,2017-10,976149,6918,1676092495.8819454,23173489.110015605,7702530.666903097,41.43725080364917,23.73970480942521,7.890732528438893
NIST_GROUND,Recurrent,43,Recurrent,2017-11,1130846,7858,2060891763.3309472,27648051.428689014,11428903.67138325,42.68997089007645,24.448997855312765,10.106507580504552
NIST_GROUND,Recurrent,43,Recurrent,2017-12,1021681,7109,2118020088.9641533,27369455.117400184,13884757.685077514,45.53101993605725,26.788650388330783,13.590110499341296
NIST_GROUND,Recurrent,44,Recurrent,2017-10,976149,6918,1645977612.908941,22648564.454121545,8793530.221698053,41.06330540850384,23.201954265303293,9.00838931525623
NIST_GROUND,Recurrent,44,Recurrent,2017-11,1130846,7858,2348422599.3146467,28959031.64455245,15461761.789226295,45.57077268460533,25.608289408595382,13.67273863039379
NIST_GROUND,Recurrent,44,Recurrent,2017-12,1021681,7109,2546384784.7314167,30030237.106689163,18660103.316782027,49.92342319752654,29.39296816392706,18.264118953745864
NIST_GROUND,Inverted,42,Inverted,2017-10,976149,6918,1560430752.5233135,24834608.37106725,8092603.016339102,39.981970416537074,25.44141147618576,8.290335815883745
NIST_GROUND,Inverted,42,Inverted,2017-11,1130846,7858,2326296917.6449456,32801472.04178663,15585198.326935291,45.35559195992805,29.006135266682318,13.781892783752422
NIST_GROUND,Inverted,42,Inverted,2017-12,1021681,7109,2323724478.4871426,33028844.320775032,17018045.558098406,47.69080552595686,32.32794220581085,16.656907154090568
NIST_GROUND,Inverted,43,Inverted,2017-10,976149,6918,1540414617.6116934,24400071.157737285,6362091.596529357,39.7247121304059,24.996256880596388,6.517541478328981
